,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Class
0,-423.13687,69.379074,-12.349184,67.71659,-16.793606,13.515331,-7.4298162,3.809008,-0.03858238,-0.26398617,3.9050355,-5.3173957,3.108008,0.348332,Hindi
1,-387.7089,90.00218,-17.96756,56.627743,-28.575922,9.679882,-9.704291,-2.3932042,-2.6289442,-4.017318,-1.3589517,-5.5318007,0.28967285,-0.93563,Hindi
2,-413.76666,78.916214,-11.475442,42.212337,-22.693523,20.751911,-4.8066797,-2.7290044,5.8187685,1.7845042,3.9718277,-6.6717544,-0.15598351,1.0456688,Hindi
3,-336.59988,58.765327,-12.879261,45.91371,-15.289166,1.1037147,-2.9990232,-6.9796214,1.7081265,-3.3070087,-2.2494068,-5.7624125,-1.37923,3.5838523,Hindi
4,-376.6004,87.53191,-26.005219,56.99421,-26.942574,11.561555,-6.533697,-2.3337328,-1.5021867,-0.076930635,-0.7912182,-8.191182,1.8074701,-1.4220212,Hindi
5,-374.27408,65.273705,-24.167583,64.36512,-17.57429,5.6052127,-8.001265,-2.3990622,-0.396645,-4.9477706,0.5263113,-5.260022,-0.8981327,-1.0865661,Hindi
6,-363.61456,71.02264,-19.333181,66.44066,-26.63922,12.357607,-8.147562,-2.2069075,-3.4034972,-3.6500087,-0.32849085,-8.084043,1.2967395,-0.9733614,Hindi
7,-423.9676,83.410286,-20.146517,51.468365,-30.577084,17.680622,-5.3495946,-3.1678846,3.572733,1.1324129,3.1339355,-8.31336,3.352778,0.6430586,Hindi
8,-377.83167,84.66887,-33.12084,65.76307,-24.381062,7.6103435,-9.901983,-3.4850054,-3.7114005,-3.87969,-1.9455558,-7.8513193,1.9281911,-0.39630175,Hindi
9,-364.16867,69.45739,-35.0474,75.8486,-31.189129,17.733335,-12.938722,7.8622103,-5.3925414,0.28966266,1.1650783,-5.0430274,4.6243715,-8.235293,Hindi
10,-445.77115,86.5389,-9.631127,33.452377,-23.463795,13.74825,-0.3111881,-2.8686647,4.6154594,2.847426,2.576101,-4.5418243,2.0583715,2.0651805,Hindi
11,-419.19717,74.34916,-22.161583,61.64964,-25.478006,22.762636,-12.332396,-1.5465913,1.4270375,1.7977092,1.8977504,-5.1910987,4.8258357,-3.5410044,Hindi
12,-436.418,84.54934,-21.940195,63.418774,-23.292955,14.452733,-8.458374,3.1598523,-3.126474,-2.505566,-0.82214916,-7.3245077,2.8260064,-2.6910663,Hindi
13,-413.05493,73.55916,-17.810192,63.40785,-25.354185,12.057435,-7.4720864,3.6252022,-5.582905,-5.129653,-0.79814285,-2.0907924,3.4876146,-1.5852941,Hindi
14,-451.34692,87.62856,-17.053493,54.54438,-28.856884,26.498993,-9.203851,-0.9008295,1.1454307,3.240155,3.352542,-8.566643,2.8912296,0.92661387,Hindi
15,-445.96844,101.97717,-26.86016,57.576546,-34.893,25.446505,-10.183377,1.0266503,2.0333376,2.5025136,4.934654,-9.106436,7.6715126,-3.0571387,Hindi
16,-445.68762,74.105995,-9.954279,68.0694,-15.011856,17.895836,-11.03031,6.0920024,-3.2916763,-0.49641305,2.5109725,-7.307376,5.4903,-1.6203916,Hindi
17,-385.8037,94.677315,-29.555696,50.489788,-31.830494,17.312765,-10.483201,-4.317903,0.3914721,2.0075681,2.3760128,-9.127228,3.892832,-0.78508234,Hindi
18,-418.1659,82.03374,-12.893311,49.835793,-18.986303,17.47364,-7.725395,2.548398,5.065344,1.5607488,1.5610112,-4.4652247,5.8077474,0.4778828,Hindi
19,-391.26584,70.97081,-19.913982,72.89651,-24.58885,9.47524,-8.043007,-0.5280965,-3.3002448,-2.5037262,0.050127678,-9.167419,0.82107264,-1.090835,Hindi
20,-370.96313,79.467415,-35.437645,62.218914,-34.26354,16.181774,-9.671758,-7.0433416,-2.180266,-3.909082,0.23137707,-7.230678,4.1166425,-2.0871913,Hindi
21,-372.27734,60.21812,-15.301929,44.40161,-16.55944,8.755416,-1.9746517,-0.8041487,3.3847046,1.6627718,-0.052595776,-4.5981364,1.1910084,0.033475477,Hindi
22,-418.53644,90.44595,-21.105202,48.291317,-23.136066,15.743595,-4.90793,-3.4349456,2.7644355,-1.0156556,-0.7601938,-7.911909,4.474057,-0.44087547,Hindi
23,-437.55435,82.63615,-3.2991877,51.431896,-13.732106,9.491521,-8.368183,-5.0344477,0.12257084,-3.5727959,-4.031024,-5.769234,2.3955135,-0.57269937,Hindi
24,-414.02448,57.564526,-25.44142,69.45457,-27.28008,8.836623,-3.922966,3.5716693,-1.4280274,-3.6213799,2.3729844,-4.3126774,3.471013,-1.5450763,Hindi
